post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47675625,Cloudflare targets 2029 for full post-quantum security,technology,91,32,ilreb,2026-04-07 16:59:14,0.34782608695652173,False
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,292,153,henrygarner,2026-04-07 16:59:14,0.5221843003412969,True
47675013,Dropping Cloudflare for Bunny.net,technology,258,121,shintoist,2026-04-07 16:59:14,0.4671814671814672,True
47672295,Every GPU That Mattered,technology,252,139,jonbaer,2026-04-07 16:59:14,0.549407114624506,True
47672318,Blackholing My Email,technology,129,17,semyonsh,2026-04-07 16:59:15,0.13076923076923078,False
47676521,Claude Code is locking people out for hours,technology,177,217,sh1mmer,2026-04-07 16:59:16,1.2191011235955056,False
47673541,AI may be making us think and write more alike,technology,182,182,giuliomagnifico,2026-04-07 16:59:16,0.994535519125683,False
47674950,An AI robot in my home,technology,7,1,kukanani,2026-04-07 16:59:16,0.125,False
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1260,699,StanAngeloff,2026-04-07 16:59:16,0.5543219666931007,True
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,230,359,flinner,2026-04-07 16:59:18,1.5541125541125542,True
47641528,Apollo Guidance Computer restoration videos,technology,84,11,mariuz,2026-04-07 16:59:18,0.12941176470588237,False
47676363,"Claude is having another moment, again",technology,15,0,ksajadi,2026-04-07 16:59:18,0.0,False
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",technology,115,22,kitfunso,2026-04-07 16:59:20,0.1896551724137931,False
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",technology,149,240,tantalor,2026-04-07 16:59:20,1.6,False
47665902,Wikipedia's AI agent row likely just the beginning of the bot-ocalypse,technology,61,74,hackernj,2026-04-07 16:59:21,1.1935483870967742,False
47673576,Why a new computer is slower than an old computer [video],technology,13,4,tiernano,2026-04-07 16:59:21,0.2857142857142857,False
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,885,132,armanified,2026-04-07 16:59:21,0.1489841986455982,True
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,325,152,rglullis,2026-04-07 16:59:22,0.4662576687116564,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,281,35,karimf,2026-04-07 16:59:22,0.12411347517730496,True
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,131,71,stevebmark,2026-04-07 16:59:22,0.5378787878787878,False
47667504,Ask HN: How do you handle marketing as a solo technical founder?,technology,104,76,lazarkap,2026-04-07 16:59:22,0.7238095238095238,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,153,21,ikessler,2026-04-07 16:59:23,0.13636363636363635,False
47648828,"Eight years of wanting, three months of building with AI",technology,939,297,brilee,2026-04-07 16:59:23,0.3159574468085106,True
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,215,26,desideratum,2026-04-07 16:59:24,0.12037037037037036,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,448,282,thisislife2,2026-04-07 16:59:24,0.6280623608017817,True
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,45,10,rryan,2026-04-07 16:59:26,0.21739130434782608,False
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,8,5,zixuanlimit,2026-04-07 16:59:26,0.5555555555555556,False
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,14,1,ibobev,2026-04-07 16:59:27,0.06666666666666667,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,105,14,ductionist,2026-04-07 16:59:28,0.1320754716981132,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,316,155,Bender,2026-04-07 16:59:29,0.4889589905362776,True
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,302,85,player_piano,2026-04-07 16:59:30,0.28052805280528054,True
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,6,0,manarth,2026-04-07 16:59:34,0.0,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,965,616,zaikunzhang,2026-04-07 16:59:36,0.6376811594202898,True
47673182,Health benefits of Paris climate goals could save lives by 2040,worldnews,6,0,lentoutcry,2026-04-07 16:59:37,0.0,False
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-07 16:59:46,0.6666666666666666,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,593,209,pretext,2026-04-07 16:59:50,0.35185185185185186,True
47672537,Trump dilemma for US officers: disobey orders or commit war crimes,worldnews,9,0,KnuthIsGod,2026-04-07 16:59:53,0.0,False
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-07 16:59:58,0.2903225806451613,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-07 17:00:02,0.27906976744186046,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-07 17:00:02,0.5454545454545454,False
47672888,IDF admits Iran can keep firing missiles as long as war continues,worldnews,8,2,johnbarron,2026-04-07 17:00:02,0.2222222222222222,False
